BatchID,cell_line,drug_name,Drug_concentration (microM),viability1,viability2,viability3,viability4,viability5,viability6,mu/muMax,X/X0
2,LNCAP,Cyclophosphamide,0.014,1.037,1.100,0.757,NULL,NULL,NULL,1.022,1.031
2,LNCAP,Cyclophosphamide,0.04,1.026,1.213,1.161,NULL,NULL,NULL,1.092,1.135
2,LNCAP,Cyclophosphamide,0.12,0.878,1.001,0.922,NULL,NULL,NULL,0.950,0.933
2,LNCAP,Cyclophosphamide,0.37,1.160,0.961,0.902,NULL,NULL,NULL,0.976,0.967
2,LNCAP,Cyclophosphamide,1.1,1.122,1.023,0.975,NULL,NULL,NULL,1.014,1.019
2,LNCAP,Cyclophosphamide,3.4,1.040,1.109,1.052,NULL,NULL,NULL,1.031,1.044
2,LNCAP,Cyclophosphamide,10,1.122,1.341,0.807,NULL,NULL,NULL,1.070,1.103
2,MSTO,Cyclophosphamide,0.0045,0.785,0.846,1.129,NULL,NULL,NULL,0.929,0.907
2,MSTO,Cyclophosphamide,0.014,0.790,0.920,1.161,NULL,NULL,NULL,0.965,0.953
2,MSTO,Cyclophosphamide,0.04,0.804,0.921,0.995,NULL,NULL,NULL,0.965,0.953
2,MSTO,Cyclophosphamide,0.12,0.912,1.028,1.069,NULL,NULL,NULL,1.012,1.016
2,MSTO,Cyclophosphamide,0.37,0.987,1.051,1.005,NULL,NULL,NULL,1.002,1.003
2,MSTO,Cyclophosphamide,1.1,0.955,0.964,0.961,NULL,NULL,NULL,0.983,0.977
2,MSTO,Cyclophosphamide,3.4,0.917,1.131,0.971,NULL,NULL,NULL,0.988,0.983
2,MSTO,Cyclophosphamide,10,0.949,1.053,1.216,NULL,NULL,NULL,1.022,1.031
2,NCIH23,Cyclophosphamide,0.0045,1.074,1.081,1.015,NULL,NULL,NULL,1.034,1.048
2,NCIH23,Cyclophosphamide,0.014,1.008,0.988,0.881,NULL,NULL,NULL,0.994,0.992
2,NCIH23,Cyclophosphamide,0.04,1.130,1.055,1.047,NULL,NULL,NULL,1.025,1.035
2,NCIH23,Cyclophosphamide,0.12,0.985,1.088,0.955,NULL,NULL,NULL,0.993,0.990
2,NCIH23,Cyclophosphamide,0.37,0.927,0.923,0.954,NULL,NULL,NULL,0.964,0.952
2,NCIH23,Cyclophosphamide,1.1,0.996,1.073,0.987,NULL,NULL,NULL,0.998,0.997
2,NCIH23,Cyclophosphamide,3.4,1.031,1.012,1.009,NULL,NULL,NULL,1.006,1.008
2,NCIH23,Cyclophosphamide,10,1.120,1.279,1.046,NULL,NULL,NULL,1.053,1.076
2,RPMI7951,Cyclophosphamide,0.0045,1.024,1.054,1.090,NULL,NULL,NULL,1.051,1.073
2,RPMI7951,Cyclophosphamide,0.014,0.958,1.026,0.952,NULL,NULL,NULL,0.958,0.943
2,RPMI7951,Cyclophosphamide,0.04,0.995,0.949,1.097,NULL,NULL,NULL,0.995,0.993
2,RPMI7951,Cyclophosphamide,0.12,1.005,1.014,1.104,NULL,NULL,NULL,1.013,1.019
2,RPMI7951,Cyclophosphamide,0.37,1.054,1.007,1.088,NULL,NULL,NULL,1.051,1.073
2,RPMI7951,Cyclophosphamide,1.1,1.101,1.029,1.101,NULL,NULL,NULL,1.093,1.138
2,RPMI7951,Cyclophosphamide,3.4,1.037,1.032,1.069,NULL,NULL,NULL,1.035,1.050
2,RPMI7951,Cyclophosphamide,10,0.970,1.133,1.046,NULL,NULL,NULL,1.044,1.062
2,T47D,Cyclophosphamide,0.0045,1.015,1.000,1.066,NULL,NULL,NULL,1.019,1.027
2,T47D,Cyclophosphamide,0.014,1.033,1.036,0.989,NULL,NULL,NULL,1.041,1.059
2,T47D,Cyclophosphamide,0.04,1.044,1.006,0.934,NULL,NULL,NULL,1.007,1.010
2,T47D,Cyclophosphamide,0.12,0.939,0.911,1.113,NULL,NULL,NULL,0.920,0.895
2,T47D,Cyclophosphamide,0.37,1.150,1.278,1.052,NULL,NULL,NULL,1.177,1.277
2,T47D,Cyclophosphamide,1.1,0.971,1.048,1.135,NULL,NULL,NULL,1.060,1.086
2,T47D,Cyclophosphamide,3.4,1.212,1.081,1.038,NULL,NULL,NULL,1.099,1.147
2,T47D,Cyclophosphamide,10,1.091,1.331,1.063,NULL,NULL,NULL,1.110,1.165
2,A2780,Dasatinib,0.0014,0.951,1.085,0.975,NULL,NULL,NULL,0.990,0.987
2,A2780,Dasatinib,0.004,1.111,1.075,0.966,NULL,NULL,NULL,1.028,1.040
2,A2780,Dasatinib,0.012,0.964,1.092,0.909,NULL,NULL,NULL,0.986,0.980
2,A2780,Dasatinib,0.037,0.950,0.983,0.901,NULL,NULL,NULL,0.980,0.973
2,A2780,Dasatinib,0.11,0.684,0.828,0.591,NULL,NULL,NULL,0.852,0.815
2,A2780,Dasatinib,0.34,0.800,0.833,0.726,NULL,NULL,NULL,0.913,0.887
2,A2780,Dasatinib,1,0.804,0.889,1.014,NULL,NULL,NULL,0.955,0.939
2,A2780,Dasatinib,3,1.033,1.043,0.928,NULL,NULL,NULL,1.013,1.018
2,A375,Dasatinib,0.0014,0.848,1.078,0.953,NULL,NULL,NULL,0.977,0.969
2,A375,Dasatinib,0.004,0.932,1.039,0.914,NULL,NULL,NULL,0.966,0.954
2,A375,Dasatinib,0.012,0.916,0.972,1.007,NULL,NULL,NULL,0.986,0.981
2,A375,Dasatinib,0.037,1.065,1.081,0.941,NULL,NULL,NULL,1.030,1.042
2,A375,Dasatinib,0.11,1.046,1.015,1.241,NULL,NULL,NULL,1.021,1.030
2,A375,Dasatinib,0.34,0.924,0.702,0.956,NULL,NULL,NULL,0.962,0.949
2,A375,Dasatinib,1,0.805,0.833,0.974,NULL,NULL,NULL,0.913,0.886
2,A375,Dasatinib,3,0.437,0.422,0.437,NULL,NULL,NULL,0.604,0.577
2,CAOV3,Dasatinib,0.0014,0.738,0.960,0.877,NULL,NULL,NULL,0.829,0.789
2,CAOV3,Dasatinib,0.004,0.775,0.929,0.808,NULL,NULL,NULL,0.722,0.680
2,CAOV3,Dasatinib,0.012,0.609,0.850,0.598,NULL,NULL,NULL,0.353,0.408
2,CAOV3,Dasatinib,0.037,0.545,0.661,0.632,NULL,NULL,NULL,0.402,0.437
2,CAOV3,Dasatinib,0.11,0.446,0.342,0.454,NULL,NULL,NULL,-0.053,0.232
2,CAOV3,Dasatinib,0.34,0.455,0.514,0.469,NULL,NULL,NULL,0.013,0.255
2,CAOV3,Dasatinib,1,0.364,0.408,0.364,NULL,NULL,NULL,-0.316,0.161
2,CAOV3,Dasatinib,3,0.395,0.435,0.347,NULL,NULL,NULL,-0.210,0.187
2,HCT116,Dasatinib,0.0014,1.000,0.734,0.999,0.992,0.966,1.091,0.998,0.997
2,HCT116,Dasatinib,0.004,1.017,1.007,0.965,0.957,0.959,1.061,0.993,0.990
2,HCT116,Dasatinib,0.012,0.924,0.958,0.997,0.983,1.046,1.023,0.995,0.993
2,HCT116,Dasatinib,0.037,0.934,0.912,1.259,0.981,0.979,1.140,0.990,0.986
2,HCT116,Dasatinib,0.11,1.003,0.994,1.206,1.262,1.220,0.944,1.049,1.070
2,HCT116,Dasatinib,0.34,1.124,1.119,0.757,0.874,1.060,1.078,1.033,1.047
2,HCT116,Dasatinib,1,0.953,1.145,1.217,1.179,1.198,0.912,1.074,1.108
2,HCT116,Dasatinib,3,0.901,0.948,0.853,0.745,0.882,0.974,0.943,0.925
2,LNCAP,Dasatinib,0.0014,1.065,1.006,0.834,NULL,NULL,NULL,1.003,1.005
2,LNCAP,Dasatinib,0.004,1.076,1.038,0.949,NULL,NULL,NULL,1.023,1.032
2,LNCAP,Dasatinib,0.012,0.881,1.016,0.926,NULL,NULL,NULL,0.953,0.936
2,LNCAP,Dasatinib,0.037,0.849,1.044,0.722,NULL,NULL,NULL,0.900,0.870
2,LNCAP,Dasatinib,0.11,0.786,0.755,0.700,NULL,NULL,NULL,0.828,0.787
2,LNCAP,Dasatinib,0.34,0.782,0.630,0.586,NULL,NULL,NULL,0.717,0.675
2,LNCAP,Dasatinib,1,0.794,0.751,0.713,NULL,NULL,NULL,0.825,0.784
2,LNCAP,Dasatinib,3,0.627,0.551,0.552,NULL,NULL,NULL,0.636,0.604
2,MSTO,Dasatinib,0.0014,0.975,1.132,1.005,NULL,NULL,NULL,1.002,1.003
2,MSTO,Dasatinib,0.004,1.361,1.207,0.936,NULL,NULL,NULL,1.079,1.116
2,MSTO,Dasatinib,0.012,0.911,0.998,1.036,NULL,NULL,NULL,0.999,0.999
2,MSTO,Dasatinib,0.037,0.904,1.057,0.936,NULL,NULL,NULL,0.972,0.962
2,MSTO,Dasatinib,0.11,0.723,0.721,0.749,NULL,NULL,NULL,0.864,0.828
2,MSTO,Dasatinib,0.34,0.870,0.724,0.738,NULL,NULL,NULL,0.872,0.838
2,MSTO,Dasatinib,1,0.769,0.790,0.673,NULL,NULL,NULL,0.889,0.858
2,MSTO,Dasatinib,3,0.602,0.567,0.563,NULL,NULL,NULL,0.761,0.718
2,NCIH23,Dasatinib,0.0014,1.026,0.916,0.830,NULL,NULL,NULL,0.959,0.944
2,NCIH23,Dasatinib,0.004,0.828,1.051,0.784,NULL,NULL,NULL,0.912,0.885
2,NCIH23,Dasatinib,0.012,0.944,0.915,0.912,NULL,NULL,NULL,0.958,0.944
2,NCIH23,Dasatinib,0.037,0.950,0.983,0.748,NULL,NULL,NULL,0.976,0.967
2,NCIH23,Dasatinib,0.11,0.763,0.827,0.717,NULL,NULL,NULL,0.873,0.839
2,NCIH23,Dasatinib,0.34,0.618,0.660,0.698,NULL,NULL,NULL,0.805,0.763
2,NCIH23,Dasatinib,1,0.599,0.708,0.744,NULL,NULL,NULL,0.838,0.799
2,NCIH23,Dasatinib,3,0.722,0.597,0.607,NULL,NULL,NULL,0.766,0.723
2,RPMI7951,Dasatinib,0.0014,0.911,0.924,0.896,NULL,NULL,NULL,0.909,0.881
2,RPMI7951,Dasatinib,0.004,0.836,0.827,0.836,NULL,NULL,NULL,0.825,0.785
2,RPMI7951,Dasatinib,0.012,0.611,0.704,0.708,NULL,NULL,NULL,0.658,0.622
2,RPMI7951,Dasatinib,0.037,0.532,0.499,0.504,NULL,NULL,NULL,0.332,0.396
2,RPMI7951,Dasatinib,0.11,0.340,0.363,0.387,NULL,NULL,NULL,0.011,0.254
2,RPMI7951,Dasatinib,0.34,0.279,0.324,0.292,NULL,NULL,NULL,-0.202,0.189
2,RPMI7951,Dasatinib,1,0.284,0.300,0.301,NULL,NULL,NULL,-0.174,0.196
2,RPMI7951,Dasatinib,3,0.290,0.291,0.285,NULL,NULL,NULL,-0.205,0.188
2,T47D,Dasatinib,0.0014,0.970,1.057,1.071,NULL,NULL,NULL,1.070,1.102
2,T47D,Dasatinib,0.004,0.928,1.037,1.158,NULL,NULL,NULL,1.046,1.065
2,T47D,Dasatinib,0.012,0.919,1.096,0.934,NULL,NULL,NULL,0.914,0.888
2,T47D,Dasatinib,0.037,0.840,0.726,0.825,NULL,NULL,NULL,0.757,0.714
2,T47D,Dasatinib,0.11,0.659,0.776,0.886,NULL,NULL,NULL,0.679,0.641
2,T47D,Dasatinib,0.34,0.766,0.606,0.697,NULL,NULL,NULL,0.543,0.531
2,T47D,Dasatinib,1,0.683,0.877,0.631,NULL,NULL,NULL,0.517,0.512
2,T47D,Dasatinib,3,0.567,0.620,0.612,NULL,NULL,NULL,0.379,0.423
2,A2780,Dexamethasone,0.0045,0.946,1.111,1.035,NULL,NULL,NULL,1.013,1.019
2,A2780,Dexamethasone,0.014,1.090,1.096,0.890,NULL,NULL,NULL,1.034,1.048
2,A2780,Dexamethasone,0.04,0.949,1.095,1.033,NULL,NULL,NULL,1.013,1.018
2,A2780,Dexamethasone,0.12,1.064,1.122,0.944,NULL,NULL,NULL,1.024,1.034
2,A2780,Dexamethasone,0.37,1.120,1.072,0.977,NULL,NULL,NULL,1.027,1.038
2,A2780,Dexamethasone,1.1,1.046,0.894,1.018,NULL,NULL,NULL,1.007,1.009
2,A2780,Dexamethasone,3.4,1.072,1.052,0.980,NULL,NULL,NULL,1.020,1.028
2,A2780,Dexamethasone,10,1.064,0.929,1.033,NULL,NULL,NULL,1.013,1.018
2,A375,Dexamethasone,0.0045,0.761,0.978,1.110,NULL,NULL,NULL,0.989,0.986
2,A375,Dexamethasone,0.014,0.807,1.051,1.078,NULL,NULL,NULL,1.024,1.034
2,A375,Dexamethasone,0.04,0.775,0.954,1.223,NULL,NULL,NULL,0.977,0.969
2,A375,Dexamethasone,0.12,0.850,0.968,1.179,NULL,NULL,NULL,0.985,0.979
2,A375,Dexamethasone,0.37,1.022,1.085,0.993,NULL,NULL,NULL,1.011,1.015
2,A375,Dexamethasone,1.1,1.012,1.056,0.939,NULL,NULL,NULL,1.006,1.008
2,A375,Dexamethasone,3.4,1.081,1.103,0.971,NULL,NULL,NULL,1.037,1.053
2,A375,Dexamethasone,10,1.082,1.026,0.948,NULL,NULL,NULL,1.012,1.017
2,CAOV3,Dexamethasone,0.0045,0.689,0.745,0.755,NULL,NULL,NULL,0.616,0.587
2,CAOV3,Dexamethasone,0.014,0.579,0.840,0.614,NULL,NULL,NULL,0.364,0.414
2,CAOV3,Dexamethasone,0.04,0.660,0.699,0.705,NULL,NULL,NULL,0.534,0.524
2,CAOV3,Dexamethasone,0.12,0.556,0.781,0.690,NULL,NULL,NULL,0.517,0.512
2,CAOV3,Dexamethasone,0.37,0.687,0.959,0.762,NULL,NULL,NULL,0.646,0.612
2,CAOV3,Dexamethasone,1.1,0.729,0.738,0.687,NULL,NULL,NULL,0.589,0.565
2,CAOV3,Dexamethasone,3.4,0.755,0.834,0.655,NULL,NULL,NULL,0.634,0.602
2,CAOV3,Dexamethasone,10,0.739,0.541,0.742,NULL,NULL,NULL,0.606,0.579
2,HCT116,Dexamethasone,0.0045,0.900,0.896,0.942,1.009,1.037,1.068,0.988,0.983
2,HCT116,Dexamethasone,0.014,0.917,0.850,0.970,1.036,0.980,0.930,0.975,0.965
2,HCT116,Dexamethasone,0.04,0.870,0.953,1.041,0.961,1.005,1.098,0.992,0.989
2,HCT116,Dexamethasone,0.12,0.899,0.931,0.934,1.082,0.976,0.873,0.966,0.953
2,HCT116,Dexamethasone,0.37,1.013,1.022,0.985,1.007,0.935,0.985,0.998,0.997
2,HCT116,Dexamethasone,1.1,1.022,1.007,0.900,1.038,0.960,0.962,0.992,0.989
2,HCT116,Dexamethasone,3.4,1.011,1.050,0.952,0.892,0.966,0.946,0.979,0.972
2,HCT116,Dexamethasone,10,1.058,1.057,0.915,0.992,0.945,0.977,0.992,0.989
2,LNCAP,Dexamethasone,0.0045,1.133,0.899,0.809,NULL,NULL,NULL,0.935,0.913
2,LNCAP,Dexamethasone,0.014,0.817,0.637,0.913,NULL,NULL,NULL,0.876,0.842
2,LNCAP,Dexamethasone,0.04,1.283,0.927,0.924,NULL,NULL,NULL,0.954,0.938
2,LNCAP,Dexamethasone,0.12,0.928,0.940,0.936,NULL,NULL,NULL,0.959,0.945
2,LNCAP,Dexamethasone,0.37,1.002,1.021,0.958,NULL,NULL,NULL,1.001,1.001
2,LNCAP,Dexamethasone,1.1,1.057,1.048,0.541,NULL,NULL,NULL,1.029,1.040
2,LNCAP,Dexamethasone,3.4,1.077,1.007,1.072,NULL,NULL,NULL,1.043,1.061
2,LNCAP,Dexamethasone,10,0.993,1.011,0.865,NULL,NULL,NULL,0.996,0.994
2,MSTO,Dexamethasone,0.0045,0.775,0.943,0.993,NULL,NULL,NULL,0.975,0.967
2,MSTO,Dexamethasone,0.014,0.725,0.894,0.818,NULL,NULL,NULL,0.916,0.890
2,MSTO,Dexamethasone,0.04,0.705,0.705,0.761,NULL,NULL,NULL,0.853,0.816
2,MSTO,Dexamethasone,0.12,0.578,0.685,0.658,NULL,NULL,NULL,0.824,0.784
2,MSTO,Dexamethasone,0.37,0.678,0.735,0.616,NULL,NULL,NULL,0.837,0.797
2,MSTO,Dexamethasone,1.1,0.805,0.711,0.681,NULL,NULL,NULL,0.856,0.819
2,MSTO,Dexamethasone,3.4,0.734,0.670,0.672,NULL,NULL,NULL,0.833,0.793
2,MSTO,Dexamethasone,10,0.706,0.755,0.686,NULL,NULL,NULL,0.854,0.816
2,NCIH23,Dexamethasone,0.0045,0.835,0.953,0.870,NULL,NULL,NULL,0.935,0.913
2,NCIH23,Dexamethasone,0.014,1.017,1.056,0.829,NULL,NULL,NULL,1.008,1.011
2,NCIH23,Dexamethasone,0.04,1.019,0.935,0.989,NULL,NULL,NULL,0.995,0.993
2,NCIH23,Dexamethasone,0.12,0.930,1.000,0.849,NULL,NULL,NULL,0.966,0.954
2,NCIH23,Dexamethasone,0.37,0.973,1.052,0.953,NULL,NULL,NULL,0.987,0.982
2,NCIH23,Dexamethasone,1.1,1.045,1.006,0.956,NULL,NULL,NULL,1.003,1.004
2,NCIH23,Dexamethasone,3.4,1.038,1.077,0.835,NULL,NULL,NULL,1.018,1.025
2,NCIH23,Dexamethasone,10,1.128,0.911,0.977,NULL,NULL,NULL,0.989,0.985
2,RPMI7951,Dexamethasone,0.0045,0.974,1.047,1.057,NULL,NULL,NULL,1.045,1.065
2,RPMI7951,Dexamethasone,0.014,0.979,1.078,0.946,NULL,NULL,NULL,0.979,0.972
2,RPMI7951,Dexamethasone,0.04,1.047,1.092,1.146,NULL,NULL,NULL,1.086,1.126
2,RPMI7951,Dexamethasone,0.12,1.012,1.047,1.051,NULL,NULL,NULL,1.044,1.064
2,RPMI7951,Dexamethasone,0.37,1.122,1.132,1.106,NULL,NULL,NULL,1.112,1.168
2,RPMI7951,Dexamethasone,1.1,1.080,1.037,1.085,NULL,NULL,NULL,1.075,1.109
2,RPMI7951,Dexamethasone,3.4,1.042,1.026,1.065,NULL,NULL,NULL,1.040,1.057
2,RPMI7951,Dexamethasone,10,1.051,0.998,1.017,NULL,NULL,NULL,1.017,1.024
2,T47D,Dexamethasone,0.0045,0.971,1.101,1.019,NULL,NULL,NULL,1.024,1.034
2,T47D,Dexamethasone,0.014,1.027,0.990,0.783,NULL,NULL,NULL,0.987,0.982
2,T47D,Dexamethasone,0.04,0.774,0.976,1.649,NULL,NULL,NULL,0.969,0.958
2,T47D,Dexamethasone,0.12,0.978,1.067,1.044,NULL,NULL,NULL,1.054,1.078
2,T47D,Dexamethasone,0.37,0.840,1.141,0.982,NULL,NULL,NULL,0.977,0.968
2,T47D,Dexamethasone,1.1,1.347,1.039,1.077,NULL,NULL,NULL,1.093,1.138
2,T47D,Dexamethasone,3.4,1.176,0.991,1.071,NULL,NULL,NULL,1.086,1.127
2,T47D,Dexamethasone,10,0.849,1.029,0.956,NULL,NULL,NULL,0.943,0.924
2,A2780,Dinaciclib,1.90E-05,1.086,0.982,1.035,NULL,NULL,NULL,1.013,1.018
2,A2780,Dinaciclib,5.50E-05,1.099,1.086,0.859,NULL,NULL,NULL,1.032,1.045
2,A2780,Dinaciclib,0.00017,1.129,1.013,1.085,NULL,NULL,NULL,1.032,1.045
2,A2780,Dinaciclib,0.0005,1.013,1.069,0.872,NULL,NULL,NULL,1.005,1.007
2,A2780,Dinaciclib,0.0015,1.002,1.149,1.028,NULL,NULL,NULL,1.011,1.015
2,A2780,Dinaciclib,0.0045,0.981,1.040,1.014,NULL,NULL,NULL,1.005,1.007
2,A2780,Dinaciclib,0.014,0.083,0.072,0.010,NULL,NULL,NULL,-0.021,0.243
2,A2780,Dinaciclib,0.04,0.018,0.012,0.007,NULL,NULL,NULL,-0.716,0.093
2,A375,Dinaciclib,1.90E-05,0.827,1.027,1.030,NULL,NULL,NULL,1.013,1.018
2,A375,Dinaciclib,5.50E-05,1.015,1.048,1.002,NULL,NULL,NULL,1.007,1.010
2,A375,Dinaciclib,0.00017,0.780,1.015,1.100,NULL,NULL,NULL,1.007,1.010
2,A375,Dinaciclib,0.0005,0.969,1.086,1.022,NULL,NULL,NULL,1.010,1.014
2,A375,Dinaciclib,0.0015,1.023,1.152,0.963,NULL,NULL,NULL,1.011,1.015
2,A375,Dinaciclib,0.0045,0.973,1.065,1.064,NULL,NULL,NULL,1.029,1.042
2,A375,Dinaciclib,0.014,0.422,0.435,0.366,NULL,NULL,NULL,0.588,0.565
2,A375,Dinaciclib,0.04,0.055,0.060,0.051,NULL,NULL,NULL,-0.384,0.147
2,CAOV3,Dinaciclib,1.90E-05,0.985,1.208,0.750,NULL,NULL,NULL,0.980,0.973
2,CAOV3,Dinaciclib,5.50E-05,1.080,1.109,1.036,NULL,NULL,NULL,1.101,1.150
2,CAOV3,Dinaciclib,0.00017,0.947,0.940,1.097,NULL,NULL,NULL,0.929,0.906
2,CAOV3,Dinaciclib,0.0005,1.011,0.977,0.986,NULL,NULL,NULL,0.981,0.974
2,CAOV3,Dinaciclib,0.0015,0.961,0.883,0.835,NULL,NULL,NULL,0.838,0.799
2,CAOV3,Dinaciclib,0.0045,0.886,0.923,0.800,NULL,NULL,NULL,0.843,0.804
2,CAOV3,Dinaciclib,0.014,0.377,0.232,0.236,NULL,NULL,NULL,-0.879,0.074
2,CAOV3,Dinaciclib,0.04,0.212,0.255,0.185,NULL,NULL,NULL,-1.021,0.061
2,HCT116,Dinaciclib,1.90E-05,0.921,0.884,0.990,0.977,0.986,1.072,0.991,0.987
2,HCT116,Dinaciclib,5.50E-05,1.007,1.018,1.041,1.051,0.973,1.040,1.014,1.020
2,HCT116,Dinaciclib,0.00017,0.930,0.919,0.986,0.977,1.026,1.094,0.991,0.987
2,HCT116,Dinaciclib,0.0005,1.007,1.006,1.037,0.942,0.997,1.010,1.003,1.005
2,HCT116,Dinaciclib,0.0015,1.052,0.958,1.037,1.037,0.977,0.923,1.004,1.005
2,HCT116,Dinaciclib,0.0045,0.939,0.929,0.911,0.177,0.937,1.015,0.966,0.954
2,HCT116,Dinaciclib,0.014,0.120,0.226,0.205,0.112,0.101,0.134,-0.018,0.244
2,HCT116,Dinaciclib,0.04,0.060,0.044,0.093,0.037,0.070,0.468,-0.346,0.155
2,LNCAP,Dinaciclib,1.90E-05,0.850,0.930,0.897,NULL,NULL,NULL,0.933,0.912
2,LNCAP,Dinaciclib,5.50E-05,1.042,1.157,0.940,NULL,NULL,NULL,1.025,1.035
2,LNCAP,Dinaciclib,0.00017,0.786,1.060,0.936,NULL,NULL,NULL,0.960,0.945
2,LNCAP,Dinaciclib,0.0005,1.018,1.305,0.985,NULL,NULL,NULL,1.011,1.016
2,LNCAP,Dinaciclib,0.0015,0.959,0.955,0.966,NULL,NULL,NULL,0.975,0.965
2,LNCAP,Dinaciclib,0.0045,1.076,1.053,1.145,NULL,NULL,NULL,1.045,1.064
2,LNCAP,Dinaciclib,0.014,0.353,0.305,0.175,NULL,NULL,NULL,0.272,0.365
2,LNCAP,Dinaciclib,0.04,0.042,0.046,0.030,NULL,NULL,NULL,-0.944,0.068
2,MSTO,Dinaciclib,1.90E-05,0.797,1.106,0.969,NULL,NULL,NULL,0.987,0.982
2,MSTO,Dinaciclib,5.50E-05,0.909,0.957,0.900,NULL,NULL,NULL,0.960,0.946
2,MSTO,Dinaciclib,0.00017,0.880,1.100,1.019,NULL,NULL,NULL,1.008,1.011
2,MSTO,Dinaciclib,0.0005,0.954,1.032,1.164,NULL,NULL,NULL,1.013,1.019
2,MSTO,Dinaciclib,0.0015,1.007,1.033,1.048,NULL,NULL,NULL,1.014,1.019
2,MSTO,Dinaciclib,0.0045,0.938,0.963,0.944,NULL,NULL,NULL,0.976,0.967
2,MSTO,Dinaciclib,0.014,0.920,0.958,0.719,NULL,NULL,NULL,0.965,0.953
2,MSTO,Dinaciclib,0.04,0.019,0.024,0.037,NULL,NULL,NULL,-0.563,0.115
2,NCIH23,Dinaciclib,1.90E-05,0.990,0.992,0.930,NULL,NULL,NULL,0.995,0.994
2,NCIH23,Dinaciclib,5.50E-05,1.118,1.090,1.001,NULL,NULL,NULL,1.040,1.058
2,NCIH23,Dinaciclib,0.00017,0.903,1.038,0.943,NULL,NULL,NULL,0.973,0.963
2,NCIH23,Dinaciclib,0.0005,1.029,0.889,0.962,NULL,NULL,NULL,0.982,0.975
2,NCIH23,Dinaciclib,0.0015,0.992,1.031,0.863,NULL,NULL,NULL,0.996,0.995
2,NCIH23,Dinaciclib,0.0045,0.710,0.833,0.884,NULL,NULL,NULL,0.915,0.888
2,NCIH23,Dinaciclib,0.014,0.192,0.156,0.147,NULL,NULL,NULL,0.130,0.299
2,NCIH23,Dinaciclib,0.04,0.036,0.027,0.031,NULL,NULL,NULL,-0.622,0.106
2,RPMI7951,Dinaciclib,1.90E-05,1.060,1.023,1.069,NULL,NULL,NULL,1.056,1.081
2,RPMI7951,Dinaciclib,5.50E-05,0.987,1.058,1.083,NULL,NULL,NULL,1.055,1.079
2,RPMI7951,Dinaciclib,0.00017,0.900,1.012,1.053,NULL,NULL,NULL,1.012,1.017
2,RPMI7951,Dinaciclib,0.0005,1.054,1.081,1.054,NULL,NULL,NULL,1.051,1.073
2,RPMI7951,Dinaciclib,0.0015,0.911,1.106,0.978,NULL,NULL,NULL,0.978,0.970
2,RPMI7951,Dinaciclib,0.0045,0.899,0.871,0.984,NULL,NULL,NULL,0.896,0.866
2,RPMI7951,Dinaciclib,0.014,0.201,0.125,0.159,NULL,NULL,NULL,-0.790,0.084
2,RPMI7951,Dinaciclib,0.04,0.010,0.007,0.008,NULL,NULL,NULL,-3.748,0.001
2,T47D,Dinaciclib,1.90E-05,0.738,1.156,1.224,NULL,NULL,NULL,1.184,1.290
2,T47D,Dinaciclib,5.50E-05,0.955,1.271,1.032,NULL,NULL,NULL,1.040,1.057
2,T47D,Dinaciclib,0.00017,0.826,1.229,1.125,NULL,NULL,NULL,1.149,1.229
2,T47D,Dinaciclib,0.0005,1.055,1.195,1.029,NULL,NULL,NULL,1.067,1.098
2,T47D,Dinaciclib,0.0015,0.826,0.961,1.064,NULL,NULL,NULL,0.950,0.933
2,T47D,Dinaciclib,0.0045,0.925,1.004,1.039,NULL,NULL,NULL,1.005,1.007
2,T47D,Dinaciclib,0.014,1.034,0.686,0.679,NULL,NULL,NULL,0.524,0.517
2,T47D,Dinaciclib,0.04,0.551,0.432,0.452,NULL,NULL,NULL,-0.004,0.249
2,A2780,Doxorubicin,0.00014,1.002,1.112,0.974,NULL,NULL,NULL,1.001,1.001
2,A2780,Doxorubicin,0.0004,1.083,1.190,1.187,NULL,NULL,NULL,1.066,1.097
2,A2780,Doxorubicin,0.0012,1.036,1.092,1.085,NULL,NULL,NULL,1.032,1.045
2,A2780,Doxorubicin,0.0037,1.089,1.063,1.076,NULL,NULL,NULL,1.028,1.040
2,A2780,Doxorubicin,0.011,0.894,0.578,0.356,NULL,NULL,NULL,0.787,0.744
2,A2780,Doxorubicin,0.034,0.302,0.258,0.178,NULL,NULL,NULL,0.474,0.482
2,A2780,Doxorubicin,0.1,0.195,0.123,0.005,NULL,NULL,NULL,0.186,0.324
2,A2780,Doxorubicin,0.3,0.031,0.013,1.103,NULL,NULL,NULL,-0.349,0.154
2,A375,Doxorubicin,0.00014,0.873,1.016,1.064,NULL,NULL,NULL,1.007,1.010
2,A375,Doxorubicin,0.0004,0.842,1.023,1.116,NULL,NULL,NULL,1.011,1.015
2,A375,Doxorubicin,0.0012,0.915,0.821,1.044,NULL,NULL,NULL,0.958,0.943
2,A375,Doxorubicin,0.0037,0.824,0.972,1.139,NULL,NULL,NULL,0.987,0.982
2,A375,Doxorubicin,0.011,0.857,0.743,0.627,NULL,NULL,NULL,0.858,0.822
2,A375,Doxorubicin,0.034,0.470,0.435,0.412,NULL,NULL,NULL,0.602,0.576
2,A375,Doxorubicin,0.1,0.345,0.298,0.206,NULL,NULL,NULL,0.422,0.449
2,A375,Doxorubicin,0.3,0.037,0.018,0.068,NULL,NULL,NULL,-0.573,0.113
